GO_ID,Description,Category,Count,Bg_Count,GeneRatio,BgRatio,RichFactor,P_value,Gene_List,FDR
GO:0004016,adenylate cyclase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v209516,0.449154031
GO:0004020,adenylylsulfate kinase activity,MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v208404,0.528145699
GO:0043531,ADP binding,MF,1,6,1/1038,6/6466,0.166666667,0.650190137,TGAM01_v205724,0.747127675
GO:0004555,"alpha,alpha-trehalase activity",MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v206646,0.528145699
GO:0051751,"alpha-1,4-mannosyltransferase activity",MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v202924,0.449154031
GO:0000009,"alpha-1,6-mannosyltransferase activity",MF,2,5,2/1038,5/6466,0.4,0.184448128,TGAM01_v206209;TGAM01_v210716,0.468708376
GO:0004559,alpha-mannosidase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v209379,0.449154031
GO:0043014,alpha-tubulin binding,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v203742,0.449154031
GO:0008652,amino acid biosynthetic process,BP,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v200711,0.588877171
GO:0009063,amino acid catabolic process,BP,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v210715,0.588877171
GO:0006520,amino acid metabolic process,BP,1,19,1/1038,19/6466,0.052631579,0.964200441,TGAM01_v210432,0.971459164
GO:0006865,amino acid transport,BP,4,17,4/1038,17/6466,0.235294118,0.286079961,TGAM01_v201290;TGAM01_v201401;TGAM01_v204935;TGAM01_v207196,0.528145699
GO:0004812,aminoacyl-tRNA ligase activity,MF,4,37,4/1038,37/6466,0.108108108,0.866914243,TGAM01_v201735;TGAM01_v203089;TGAM01_v204393;TGAM01_v207906,0.901725567
GO:0004177,aminopeptidase activity,MF,1,4,1/1038,4/6466,0.25,0.503476899,TGAM01_v201367,0.647903765
